Day,Ad name,Campaign name,Campaign ID,Platform,Age,Gender,Impression device,Amount Spent,Clicks,CPC-cost per link click,"CPM-cost per 1,000 impressions",Video average play time,Impressions,Reach,Frequency
11/2/2022,Presents_Evergreen_Registrations_Retargeting_All_National_Dual_Video_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,18-24,male,iphone,82.78,90,1.72,44.27,4,1870,1728,1.08
11/2/2022,Presents_Evergreen_Registrations_Interests_All_National_Dual_Video_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,instagram,18-24,male,iphone,144.38,61,2.63,62.64,6,2305,2254,1.02
11/3/2022,,Art of Kindness_Registration,6278035004397,facebook,65+,female,android_smartphone,4.92,11,2.46,13.78,9,357,306,1.17
11/3/2022,,Art of Kindness_Registration,6278035004397,instagram,55-64,female,android_smartphone,2.36,1,2.36,15.53,7,152,139,1.09
11/3/2022,,Art of Kindness_Registration,6278035004397,facebook,35-44,female,android_tablet,0.05,0,0,12.5,2,4,4,1
11/3/2022,,Art of Kindness_Registration,6278035004397,facebook,45-54,unknown,desktop,0.76,,0,7.31,11,104,99,1.05
11/3/2022,,Art of Kindness_Registration,6278035004397,facebook,55-64,male,ipad,1.58,9,0.53,15.34,3,103,92,1.12
11/3/2022,,Art of Kindness_Registration,6278035004397,instagram,45-54,male,ipad,0.59,,0,34.71,2,17,17,1
11/3/2022,,Art of Kindness_Registration,6278035004397,facebook,45-54,female,iphone,25.78,59,1.43,14.24,4,1811,1605,1.13
11/3/2022,,Art of Kindness_Registration,6278035004397,instagram,45-54,male,iphone,12.84,10,1.43,14.86,0,864,788,1.1
11/3/2022,,Art of Kindness_Registration,6278035004397,facebook,25-34,female,ipod,0.03,,0,15,5,2,2,1
11/3/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_Dual50+,Awareness_Evergreen_Video Views,6277506227397,facebook,35-44,male,android_smartphone,41.29,14,2.95,19.05,4,2167,2162,1
11/3/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_Dual50+,Awareness_Evergreen_Video Views,6277506227397,instagram,25-34,male,android_smartphone,1.05,,0,10.4,4,101,100,1.01
11/3/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,facebook,65+,male,android_tablet,0.04,,0,13.33,6,3,3,1
11/3/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,instagram,65+,female,android_tablet,0.13,,0,18.57,5,7,7,1
11/3/2022,Awareness_Evergreen_Video Views_Broad_DFW_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,facebook,45-54,male,desktop,0.14,0,0,5.6,5,25,25,1
11/3/2022,Awareness_Evergreen_Video Views_Broad_DFW_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,facebook,25-34,female,ipad,0.07,0,0,5,13,14,14,1
11/3/2022,Awareness_Evergreen_Video Views_Broad_DFW_Dual50+,Awareness_Evergreen_Video Views,6277506227397,instagram,55-64,unknown,ipad,0.11,0,0,13.75,6,8,8,1
11/3/2022,Awareness_Evergreen_Video Views_Broad_DFW_Dual50+,Awareness_Evergreen_Video Views,6277506227397,facebook,25-34,female,iphone,32.44,10,3.24,24.69,14,1314,1311,1
11/3/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,instagram,35-44,female,iphone,0.88,0,0,10,16,88,87,1.01
11/3/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_Dual50+,Awareness_Evergreen_Video Views,6277506227397,instagram,65+,female,other,0.04,0,0,40,8,1,1,1
11/3/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,65+,male,android_smartphone,33.96,87,1.06,30.35,13,1119,1024,1.09
11/3/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,instagram,55-64,female,android_smartphone,5.60,8,1.12,45.53,6,123,121,1.02
11/3/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,55-64,male,android_tablet,0.57,5,0.57,27.14,11,21,21,1
11/3/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,instagram,45-54,female,android_tablet,0.11,0,0,55,4,2,2,1
11/3/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,45-54,male,desktop,3.73,6,1.24,23.17,8,161,145,1.11
11/3/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,25-34,male,ipad,2.71,6,2.71,20.85,4,130,117,1.11
11/3/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,instagram,25-34,male,ipad,1.55,1,1.55,73.81,4,21,19,1.11
11/3/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,35-44,male,iphone,45.23,86,1.41,25.73,38,1758,1585,1.11
11/3/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,instagram,65+,unknown,iphone,21.64,19,1.35,53.17,15,407,394,1.03
11/3/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,45-54,unknown,other,0.13,0,0,43.33,5,3,3,1
11/3/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,instagram,18-24,female,other,0.03,0,0,30,3,1,1,1
11/3/2022,Presents_Evergreen_Registrations_Lookalike_1%_National_Dual_Video_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,65+,unknown,android_smartphone,73.72,66,2.05,56.45,7,1306,1256,1.04
11/3/2022,Presents_Evergreen_Registrations_Retargeting_All_National_Dual_Video_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,instagram,45-54,female,android_smartphone,37.92,21,2.23,57.02,5,665,660,1.01
11/3/2022,Presents_Evergreen_Registrations_Interests_All_National_Dual_Video_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,65+,unknown,android_tablet,1.64,1,0,54.67,1,30,30,1
11/3/2022,Presents_Evergreen_Registrations_Interests_All_National_Dual_Image_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,instagram,35-44,female,android_tablet,0.97,0,0,88.18,7,11,8,1.38
11/3/2022,Presents_Evergreen_Registrations_Lookalike_1%_National_Dual_Image_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,45-54,male,desktop,5.54,4,1.85,40.74,3,136,136,1
11/3/2022,Presents_Evergreen_Registrations_Retargeting_All_National_Dual_Image_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,45-54,unknown,ipad,4.55,7,1.52,44.61,1,102,90,1.13
11/3/2022,Presents_Evergreen_Registrations_Lookalike_1%_National_Dual_Video_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,instagram,65+,male,ipad,7.14,2,3.57,81.14,2,88,88,1
11/3/2022,Presents_Evergreen_Registrations_Retargeting_All_National_Dual_Video_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,65+,female,iphone,77.13,74,2.08,38.95,9,1980,1852,1.07
11/3/2022,Presents_Evergreen_Registrations_Interests_All_National_Dual_Video_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,instagram,55-64,female,iphone,138.35,65,2.39,57.72,2,2397,2388,1
11/3/2022,Presents_Evergreen_Registrations_Interests_All_National_Dual_Image_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,45-54,female,other,0.08,0,0,26.67,3,3,3,1
11/3/2022,Presents_Evergreen_Registrations_Lookalike_1%_National_Dual_Image_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,instagram,55-64,male,other,0.06,0,0,60,3,1,1,1
11/4/2022,,Art of Kindness_Registration,6278035004397,facebook,18-24,male,android_smartphone,3.64,14,0.91,12.91,16,282,237,1.19
11/4/2022,,Art of Kindness_Registration,6278035004397,instagram,18-24,female,android_smartphone,3.97,3,1.99,14.98,5,265,242,1.1
11/4/2022,,Art of Kindness_Registration,6278035004397,facebook,65+,unknown,android_tablet,0.07,0,0,17.5,8,4,4,1
11/4/2022,,Art of Kindness_Registration,6278035004397,instagram,35-44,female,android_tablet,0.24,0,0,240,4,1,1,1
11/4/2022,,Art of Kindness_Registration,6278035004397,facebook,55-64,female,desktop,0.64,0,0,11.43,1,56,53,1.06
11/4/2022,,Art of Kindness_Registration,6278035004397,facebook,55-64,male,ipad,0.72,2,0.72,12.86,1,56,49,1.14
11/4/2022,,Art of Kindness_Registration,6278035004397,instagram,65+,female,ipad,0.42,1,0.42,24.71,5,17,17,1
11/4/2022,,Art of Kindness_Registration,6278035004397,facebook,65+,male,iphone,17.39,33,3.48,14.36,5,1211,1079,1.12
11/4/2022,,Art of Kindness_Registration,6278035004397,instagram,45-54,female,iphone,21.60,14,1.96,15.86,11,1362,1219,1.12
11/4/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_Dual50+,Awareness_Evergreen_Video Views,6277506227397,facebook,55-64,male,android_smartphone,42.11,26,1.75,17.53,7,2402,2395,1
11/4/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_Dual50+,Awareness_Evergreen_Video Views,6277506227397,instagram,45-54,male,android_smartphone,0.90,0,0,7.69,16,117,115,1.02
11/4/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,facebook,35-44,female,android_tablet,0.01,0,0,2.5,8,4,4,1
11/4/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,instagram,55-64,female,android_tablet,0.13,0,0,21.67,9,6,6,1
11/4/2022,Awareness_Evergreen_Video Views_Broad_DFW_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,facebook,45-54,female,desktop,0.23,0,0,6.57,8,35,35,1
11/4/2022,Awareness_Evergreen_Video Views_Broad_DFW_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,facebook,45-54,female,ipad,0.04,0,0,3.08,13,13,13,1
11/4/2022,Awareness_Evergreen_Video Views_Broad_DFW_Dual50+,Awareness_Evergreen_Video Views,6277506227397,instagram,65+,female,ipad,0.17,0,0,11.33,13,15,15,1
11/4/2022,Awareness_Evergreen_Video Views_Broad_DFW_Dual50+,Awareness_Evergreen_Video Views,6277506227397,facebook,65+,male,iphone,33.99,10,3.4,23.59,13,1441,1437,1
11/4/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,instagram,35-44,female,iphone,0.69,0,0,8.73,6,79,78,1.01
11/4/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_Dual50+,Awareness_Evergreen_Video Views,6277506227397,instagram,65+,unknown,ipod,0.03,0,0,30,0,1,1,1
11/4/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_Dual50+,Awareness_Evergreen_Video Views,6277506227397,facebook,18-24,female,other,0.01,0,0,10,2,1,1,1
11/4/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_Dual50+,Awareness_Evergreen_Video Views,6277506227397,instagram,25-34,female,other,0.08,0,0,40,8,2,2,1
11/4/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,55-64,female,android_smartphone,35.08,61,1.59,30.16,8,1163,1074,1.08
11/4/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,instagram,65+,male,android_smartphone,4.59,5,1.15,53.37,5,86,86,1
11/4/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,65+,male,android_tablet,0.87,0,0,39.55,7,22,22,1
